38113169420940           78524684                 90458170800              09313737                                AC   2017-02-05                              
90434136522551           56180066                 37349552645              33399614                                AC   2014-01-12                              
38501209316404           74840419                 98792662746              86308902                                AC   2014-01-05                              
57595953929784           87404557                 79989411597              01126447                                AC   2013-12-08                              
30097590076063           98378818                 15729799792              75568050                                AC   2013-12-22                              
07181464589523           74748362                 73433859901              73606419                                PD   2013-06-02                              
39581537458650           13971123                 33255387566              40706142                                AC   2015-11-22                              
35371061334920           75312893                 85169706051              61574219                                DE   2013-11-03                              
97374606032888           71725009                 93167834181              55657138                                AC   2013-12-29                              
44064698641738           43087525                 14010730195              90451288                                AC   2014-01-05                              
94713005185603           02067932                 04541101421              33048451                                PD   2013-10-20                              
89002063022321           22967981                 08407072548              63063451                                AC   2013-11-17                              
98170287443646           60068601                 18998758768              32857043                                DE   2013-12-29                              
45658995777139           09514661                 06760333461              14834682                                DE   2014-01-19                              
73113162557485           5712022                  11075751439              45039227                                PD   2013-06-02                              
23090330300187           82241996                 98045052177              68972120                                DE   2013-06-02                              
78142707826630           67252145                 38797890290              02945336                                PD   2013-06-02                              
85674484502879           41099679                 46642959406              81499639                                AC   2014-05-04                              
32281357886131           5954745                  52629575903              49051279                                PD   2013-06-02                              
58571161426479           71205193                 12999675757              60710836                                AC   2013-06-02                              
15436827907096           77051477                 26679149169              35099081                                AC   2014-01-05                              
54852623292189           41319983                 57189629039              07744605                                PD   2014-12-21                              
24023929063784           40514608                 88542540527              72093456                                AC   2016-02-21                              
67966874906918           81169528                 55944908899              51887209                                AC   2013-12-22                              
28666719938565           3151943                  30609613604              82890814                                AC   2016-01-17                              
47873368581679           59936638                 22788462342              24021279                                AC   2013-11-10                              
15961404689339           51611038                 43667082267              70694455                                DE   2013-10-20                              
09867893073473           39333767                 91210754869              61826536                                PD   2016-10-23                              
66619030161342           4109042                  12105983279              24463954                                PD   2013-06-02                              
51411616594034           516443                   97690028936              44657037                                AC   2013-09-15                              
21371138247496           33339536                 93977730819              17036534                                AC   2014-01-12                              
53095409042421           2680492                  46110342315              16085255                                AC   2014-01-19                              
18247478029923           93489562                 71822429957              78437644                                PD   2013-06-02                              
53955068688926           1251803                  89968818387              19744453                                AC   2015-11-01                              
31788151253817           50650712                 09475381987              67267685                                PD   2013-06-02                              
72670010477790           87910155                 32872486726              18777905                                PD   2013-06-02                              
80852011624131           65969678                 02633371065              39181761                                AC   2013-11-17                              
87592642763163           94129245                 56629488881              27340096                                PD   2013-06-02                              
99602826990104           62193812                 12591550096              34611042                                AC   2015-08-02                              
46228465243678           8260728                  78968457892              99723867                                AC   2014-01-05                              
29570863099881           28208751                 16704424192              83466423                                AC   2014-01-05                              
62046624083401           85738004                 51445006901              41273812                                AC   2013-12-29                              
97516060737674           2237325                  05282683191              14629099                                PD   2013-06-02                              
24969424537885           34594781                 68292470092              64349286                                DE   2013-12-29                              
04555085247516           3765863                  39640786572              88993140                                PD   2013-06-23                              
14894790425532           94393460                 83801132865              11513582                                AC   2014-01-05                              
96463419588654           013351                   11743363410              93332315                                PD   2016-07-10                              
90355626641031           08141175                 56236582609              62856096                                AC   2014-01-12                              
11430320969513           44617005                 19219550712              60606425                                AC   2013-06-02                              
68370714716099           93684968                 57123782332              81693979                                DE   2013-06-02                              
60904818909169           30120414                 82523666448              45271455                                AC   2016-11-20                              
72326477533338           7549420                  69466106191              40138077                                AC   2016-08-07                              
